监测点编码,监测点名称,城市,经度,纬度
2399A,三五一五工厂,漯河,114.056,33.567
2400A,漯河大学,漯河,114.005,33.568
2401A,水利局,漯河,114.014,33.581
2402A,广电局,漯河,114.0322,33.5653
2403A,环保局　,南阳,112.5192,32.9917
2404A,瓦房庄,南阳,112.5224,33.0122
2405A,汉画馆,南阳,112.5003,32.9735
2406A,气象站,南阳,112.5573,33.027
2407A,理工学院,南阳,112.55,32.9683
2408A,环境监测站　,商丘,115.6697,34.4286
2409A,粮食局　,商丘,115.6558,34.429
2410A,睢阳区环保局　,商丘,115.6386,34.407
2411A,第三人民医院　,商丘,115.6578,34.402
2420A,市一纸厂　,驻马店,114.018,32.965
2421A,市彩印厂　,驻马店,114.0131,33.0069
2422A,天方二分厂　,驻马店,113.996,32.996
2423A,沈家营,黄石,115.0625,30.2352
2424A,陈家湾,黄石,115.0767,30.2028
2425A,新下陆,黄石,114.9551,30.1765
2426A,铁山,黄石,114.8949,30.2043
2427A,经济开发区,黄石,115.0264,30.2099
2428A,武当山,十堰,111.0419,32.395
2429A,滨河新村,十堰,110.78,32.6494
2430A,刘家沟,十堰,110.7258,32.6389
2431A,铁二处,十堰,110.8839,32.5714
2432A,襄城运动路,襄阳,112.155,32.0197
2433A,樊城新华路,襄阳,112.1392,32.0564
2434A,高新管委会,襄阳,112.1825,32.1142
2435A,襄州航空路,襄阳,112.2106,32.0903
2436A,市政府,鄂州,114.8878,30.3944
2437A,赵家坝,鄂州,114.8989,30.3714
2438A,凡口开发区,鄂州,114.8131,30.4133
2439A,竹园小学,荆门,112.2014,31.0483
2440A,掇刀,荆门,112.1969,30.9892
2441A,石化一小,荆门,112.2211,31.0386
2442A,市政府,荆门,112.1931,31.0375
2443A,文化路,孝感,113.9153,30.9285
2444A,东城区,孝感,113.942,30.9075
2445A,大洲岛,黄冈,114.8857,30.4522
2446A,职工中心,黄冈,114.9028,30.4742
2447A,森林公园,咸宁,114.3036,29.8181
2448A,市发改委,咸宁,114.3231,29.8211
2449A,咸安区政府,咸宁,114.2894,29.8539
2450A,长江产业园,咸宁,114.3372,29.8686
2451A,市委党校,随州,113.3583,31.7275
2452A,市林业局,随州,113.3833,31.6908
2453A,市立交桥水厂,随州,113.3983,31.7308
2454A,湖北民院,恩施州,109.5039,30.2989
2455A,州电力总公司,恩施州,109.4689,30.2819
2456A,原169医院,衡阳,112.5328,26.9089
2457A,衡阳化工总厂,衡阳,112.6194,26.9258
2458A,珠晖区环保局,衡阳,112.6211,26.8956
2459A,市委党校,衡阳,112.6197,26.8733
2460A,市监测站,衡阳,112.6006,26.8919
2461A,真空机电公司,衡阳,112.5664,26.9056
2462A,市水土所,邵阳,111.5239,27.3033
2463A,市一中,邵阳,111.4733,27.2317
2464A,市化工厂,邵阳,111.4908,27.2582
2465A,市罐头厂,邵阳,111.4503,27.2537
2466A,市环保局,邵阳,111.4328,27.2272
2467A,甘溪港,益阳,112.4067,28.6428
2468A,市环保局,益阳,112.3458,28.5808
2469A,市特殊教育学校,益阳,112.3439,28.56
2470A,资阳区政务中心,益阳,112.3347,28.6047
2471A,赫山环保分局,益阳,112.3744,28.5819
2472A,马头岭,郴州,113.0073,25.9061
2473A,市职中,郴州,113.0116,25.8226
2474A,兴隆步行街,郴州,113.0119,25.8179
2475A,市审计局,郴州,113.0383,25.8071
2476A,市环保局,郴州,113.0348,25.7759
2477A,零陵南津渡,永州,111.6217,26.2081
2478A,市环境监测站,永州,111.6156,26.4214
2479A,零陵区环保局,永州,111.6236,26.2331
2480A,永州市环保局,永州,111.5992,26.4364
2481A,冷水滩区环保局,永州,111.5989,26.4519
2482A,林科所,怀化,109.9333,27.5733
2483A,河西地税局,怀化,109.9453,27.5444
2484A,市四医院,怀化,109.9792,27.5342
2485A,监测楼,怀化,109.9972,27.5578
2486A,市委党校,怀化,110.0394,27.583
2487A,电视发射台,娄底,111.9975,27.725
2488A,市监测站,娄底,111.9975,27.725
2489A,市委党校,娄底,112.0194,27.7314
2490A,涟钢,娄底,111.9561,27.7569
2491A,市政府,娄底,111.9892,27.7044
2492A,跃进水库,湘西州,109.6414,28.2558
2493A,州政府,湘西州,109.7325,28.3169
2494A,吉首市计生局,湘西州,109.6958,28.2675
2495A,市环保,梧州,111.2897,23.4792
2496A,云盖小学,梧州,111.3178,23.475
2497A,龙圩,梧州,111.2353,23.415
2498A,龙新,梧州,111.26,23.4794
2499A,沙万,防城港,108.3411,21.6158
2500A,防城镇政府,防城港,108.3511,21.7631
2501A,大海花园,防城港,108.3506,21.6414
2502A,市环保站,钦州,108.6236,21.9667
2503A,市农科院,钦州,108.6553,21.9508
2504A,港区一小,钦州,108.5989,21.7431
2505A,德智高中,贵港,109.5681,23.1478
2506A,江南子站　,贵港,109.6042,23.0672
2507A,贵城子站,贵港,109.6014,23.0944
2508A,荷城子站,贵港,109.5683,23.1036
2509A,寒山水库,玉林,110.1106,22.7019
2510A,市监测站,玉林,110.1675,22.6411
2511A,南江一中,玉林,110.1433,22.6164
2512A,市监测站,百色,106.6103,23.9011
2513A,市中心血站,百色,106.6527,23.8844
2514A,环保小区,贺州,111.5269,24.4175
2515A,政协大楼,贺州,111.5622,24.4072
2516A,东仁乐园,河池,108.2134,24.7121
2517A,市环保站,河池,108.054,24.6928
2518A,市疾控中心,河池,108.1009,24.6967
2519A,来宾二中,来宾,109.2131,23.7208
2520A,来冶招待所,来宾,109.2317,23.7369
2521A,市环保局江州分局,崇左,107.3476,22.4137
2522A,城南新区,崇左,107.3701,22.3708
2523A,黑石坡,广元,105.8945,32.4535
2524A,老城,广元,105.8242,32.4429
2525A,南坝,广元,105.8153,32.4246
2526A,监测站,广元,105.8624,32.4285
2527A,石溪浩,遂宁,105.7519,30.5797
2528A,市监测站,遂宁,105.68,30.6133
2529A,行政中心,遂宁,105.8161,30.6347
2530A,美宁食品公司,遂宁,105.5956,30.475
2531A,市监测站,内江,105.0331,29.5953
2532A,东兴区政府,内江,105.0717,29.5947
2533A,内江二中,内江,105.0653,29.5817
2534A,内江日报社,内江,105.0406,29.5822
2535A,乐山大佛景区,乐山,103.7705,29.5467
2536A,牛耳桥,乐山,103.7627,29.5844
2537A,市第三水厂,乐山,103.7506,29.6007
2538A,市监测站,乐山,103.757,29.5634
2539A,蟆颐观,眉山,103.8986,30.0506
2540A,气象局,眉山,103.8416,30.0874
2541A,旭光小区,眉山,103.8495,30.0691
2542A,市监测站,眉山,103.8341,30.062
2543A,小平旧居,广安,106.631,30.518
2544A,市委,广安,106.6303,30.4576
2545A,友谊中学,广安,106.6271,30.4663
2546A,人工湖,广安,106.6406,30.4844
2547A,广电花园,广安,106.6388,30.4551
2548A,达州职业技术学院,达州,107.5272,31.2797
2549A,市环境监测站,达州,107.525,31.215
2550A,凤凰小区,达州,107.4967,31.2108
2551A,达县机关宾馆,达州,107.5069,31.1956
2552A,市政中心,达州,107.4611,31.2058
2553A,大兴526台,雅安,103.009,30.0125
2554A,建安厂,雅安,103.0013,29.9899
2555A,市政府,雅安,103.0109,29.9834
2556A,川农大,雅安,103.0001,29.9816
2557A,南龛公园,巴中,106.7583,31.8475
2558A,市环保局,巴中,106.7389,31.8711
2559A,巴中中学,巴中,106.7594,31.8531
2560A,市六中,巴中,106.7608,31.8456
2561A,莲花山,资阳,104.6617,30.1366
2562A,资阳中学,资阳,104.6356,30.1506
2563A,四三一厂,资阳,104.6289,30.1377
2564A,师范校,资阳,104.6469,30.1142
2565A,区法院,资阳,104.6294,30.1259
2566A,州农科所,阿坝州,102.1755,31.9286
2567A,州监测站,阿坝州,102.2218,31.9025
2568A,马师校,阿坝州,102.2402,31.8934
2569A,将军桥,甘孜州,101.9628,30.0506
2570A,水桥子,甘孜州,101.9603,30.0475
2571A,青龙寺,凉山州,102.3419,27.8094
2572A,邛海宾馆,凉山州,102.2714,27.8408
2573A,西昌市政府,凉山州,102.2625,27.8978
2574A,凉山州政府,凉山州,102.2689,27.8847
2575A,长安,凉山州,102.2311,27.8953
2576A,窑上,六盘水,104.8,26.5892
2577A,黄土坡,六盘水,104.83,26.5917
2578A,水钢,六盘水,104.89,26.5939
2579A,民中,六盘水,104.8475,26.5894
2580A,双水,六盘水,104.9544,26.5506
2581A,虹机厂子校,安顺,105.9556,26.2611
2582A,市一中,安顺,105.9278,26.255
2583A,铁路子校,安顺,105.9394,26.2358
2584A,龙岩子校,安顺,105.8853,26.2392
2585A,铜仁卫校,铜仁地区,109.1916,27.7297
2586A,铜仁七中,铜仁地区,109.1794,27.7231
2587A,八中,毕节,105.2864,27.3125
2588A,师专,毕节,105.31,27.2944
2589A,场坝街,黔西南州,104.9022,25.0925
2590A,坪东大道,黔西南州,104.8811,25.0992
2591A,市环境监测站,黔东南州,107.9783,26.5747
2592A,马坡井小学,黔东南州,,
2593A,小围寨,黔南州,107.5228,26.2403
2594A,市环境监测站,保山,99.1678,25.1081
2595A,市环保局,保山,99.1711,25.1328
2596A,监测站,昭通,103.7032,27.3392
2597A,环保局,昭通,103.7225,27.3361
2598A,西南郊,丽江,100.2143,26.8576
2599A,丽江古城,丽江,100.2497,26.8802
2600A,市中心,丽江,100.2203,26.8906
2601A,市环保局,普洱,100.98,22.7633
2602A,普洱第二中学,普洱,100.9817,22.8322
2603A,市环保局,临沧,100.0869,23.8822
2604A,市气象局,临沧,100.0782,23.8982
2605A,州环境监测站,楚雄州,101.5482,25.0441
2606A,市经济开发区,楚雄州,101.538,25.0492
2607A,雨过铺,红河州,103.3113,23.4626
2608A,污水处理厂,红河州,103.3772,23.3993
2609A,监测站,红河州,103.386,23.4168
2610A,州水务局,文山州,104.2533,23.3594
2611A,市便民服务中心,文山州,104.2319,23.3892
2612A,景洪市江南,西双版纳州,100.7939,22.0019
2613A,景洪市江北,西双版纳州,100.8017,22.0225
2614A,大理市环境监测站,大理州,100.1542,25.7054
2615A,大理古城,大理州,100.2171,25.5811
2616A,德宏州监测站,德宏州,98.5842,24.428
2617A,芒市建设局,德宏州,98.578,24.441
2618A,州监测站,怒江州,98.8601,25.8567
2619A,泸水一中,怒江州,98.8546,25.8417
2620A,古城,迪庆州,99.7064,27.8136
2621A,迪庆州站,迪庆州,99.7056,27.8317
2622A,昌都监测站,昌都地区,97.1804,31.1278
2623A,昌都地区昌都坝,昌都地区,97.1809,31.1254
2624A,山南监测站,山南地区,91.7608,29.2313
2625A,山南人民医院,山南地区,91.7706,29.261
2626A,日喀则监测站,日喀则地区,88.8876,29.2718
2627A,日喀则鸿达公司,日喀则地区,88.8931,29.2365
2628A,那曲监测站,那曲地区,92.0657,31.4846
2629A,那曲嘉兴医院,那曲地区,92.0505,31.4733
2630A,阿里监测站,阿里地区,80.1161,32.5
2631A,阿里地委,阿里地区,80.0895,32.5039
2632A,林芝监测站,林芝地区,94.3681,29.6376
2633A,林芝人民医院,林芝地区,94.3616,29.6632
2634A,汉川机床厂子校,汉中,106.9893,33.1842
2635A,市监测站,汉中,107.0154,33.0706
2636A,鑫源开发区,汉中,107.0089,33.1138
2637A,南郑大河坎水厂,汉中,107.007,33.0323
2638A,红石峡森林公园　,榆林,109.7414,38.3344
2639A,世纪广场　,榆林,109.7456,38.2911
2640A,实验中学,榆林,109.7289,38.2839
2641A,环保监测大楼　,榆林,109.7336,38.2478
2642A,香溪洞,安康,109.0311,32.6778
2643A,安康市监测站,安康,109.0281,32.6939
2644A,汉滨区检察院,安康,109.0072,32.6975
2645A,监测站,商洛,109.9154,33.8715
2646A,东龙山气象局,商洛,109.966,33.8509
2647A,豫源饭店,白银,104.1731,36.5458
2648A,动力公司,白银,104.1731,36.5481
2649A,仙人崖,天水,106.005,34.3469
2650A,进步巷,天水,105.7281,34.5814
2651A,文化馆,天水,105.8614,34.5653
2652A,监测站,武威,102.6219,37.9311
2653A,雷台,武威,102.6469,37.9358
2654A,监测站,张掖,100.4686,38.9467
2655A,科委,张掖,100.4497,38.9389
2656A,监测站,平凉,106.6692,35.5461
2657A,博物馆,平凉,106.7039,35.5294
2658A,仓门街子站,酒泉,98.509,39.746
2659A,富康家世界子站,酒泉,98.5023,39.7294
2660A,区环保局,庆阳,107.6831,35.7289
2661A,粮贸总公司,庆阳,107.6406,35.5236
2662A,市环保局,庆阳,107.6364,35.7067
2663A,监测站（原粮食局）,定西,104.6228,35.5714
2664A,南峰招待所（原起重机厂）,定西,104.6169,35.5975
2665A,汉王镇固水子,陇南,105.0822,33.3261
2666A,市林业局,陇南,,
2667A,环保局,临夏州,103.2139,35.6039
2668A,州委党校,临夏州,103.2064,35.5997
2669A,监测站,甘南州,102.905,35.0003
2670A,平安县,海东地区,102.1086,36.4997
2671A,海晏县西海镇,海北州,100.9048,36.9639
2672A,同仁县隆务镇,黄南州,102.0199,35.5102
2673A,共和县恰卜恰镇,海南州,100.6188,36.2866
2674A,玛沁县大武镇,果洛州,100.2561,34.4714
2675A,玉树县结古镇,玉树州,97,33.0014
2676A,德令哈市,海西州,97.3731,37.3753
2677A,教育园区,吴忠,106.1532,37.9648
2678A,高级中学,吴忠,106.2025,37.9844
2679A,新区二泵站,吴忠,106.196,37.9723
2680A,沙坡头消防站,中卫,105.0197,37.4514
2681A,官桥站,中卫,105.18,37.0172
2682A,环保局站,中卫,105.1971,37.5002
2683A,马园,固原,106.2319,36.1417
2684A,监测站,固原,106.2792,36.0022
2685A,新区,固原,106.2375,36.0211
2686A,市环保局,吐鲁番地区,89.191,42.9409
2687A,地区环保局,吐鲁番地区,89.1673,42.9559
2688A,地区监测站,哈密地区,93.5128,42.8172
2689A,哈密师范学校,哈密地区,93.4961,42.8328
2690A,天山天池,昌吉州,87.9897,44.1564
2691A,州监测站,昌吉州,87.2997,44.0114
2692A,新区政务中心,昌吉州,87.2717,44.0297
2693A,博乐市西郊区,博州,82.0485,44.9079
2694A,市环保局,博州,82.0806,44.8969
2695A,电视台,阿克苏地区,80.2828,41.1636
2696A,艺术中心,阿克苏地区,80.2956,41.1933
2697A,市人民政府,克州,76.1861,39.7153
2698A,巡警大队,喀什地区,75.9828,39.5371
2699A,吾办,喀什地区,75.9771,39.4699
2700A,市环境监测站,喀什地区,75.9435,39.4365
2701A,地区站,和田地区,79.9485,37.1152
2702A,古江巴格乡院内,和田地区,79.9117,37.1013
2703A,市环保局,伊犁哈萨克州,81.2815,43.9404
2704A,新政府片区,伊犁哈萨克州,81.2867,43.895
2705A,第二水厂,伊犁哈萨克州,81.3364,43.941
2706A,东门外小游园,塔城地区,82.9994,46.7432
2707A,小东沟,阿勒泰地区,88.1214,47.9047
2708A,市站,阿勒泰地区,88.1267,47.8515
2709A,艾青诗歌馆,石河子,86.0497,44.2967
2710A,阳光学校,石河子,86.0697,44.3075
2711A,农水大厦,五家渠,87.5475,44.1756
2835A,四十中小,攀枝花,101.7227,26.5670
2842A,湖里中学,厦门,118.0936,24.5058
2845A,德盛苑,长治,113.1569,36.1912
2846A,体育西,广州,113.3208,23.1323
2858A,河西一经路,天津,117.7918,39.2474
2859A,津沽路,天津,117.3747,38.9846
2860A,宾水西道,天津,117.1589,39.0845
2862A,22中南校区,石家庄,114.5480556,38.03777778
2865A,榆次三中,晋中,112.7194444,37.68277778
2866A,外滩首府,运城,111.0522222,35.04388889
2867A,马茂庄小学,吕梁,111.1283333,37.51
2868A,九站,吉林,126.4738889,43.95305556
2869A,五台山医院,扬州,119.4580,32.41361
2870A,市疾控中心,镇江,119.4369444,32.18888889
2871A,万里国际学校,宁波,121.6147222,29.90166667
2872A,南湖区残联,嘉兴,120.7844444,30.7525
2873A,仁皇山新区,湖州,120.0875,30.89556
2874A,益益乳业工业园,淮南,117.0411667,32.64600333
2875A,阜阳职业技术学院,阜阳,115.7838889,32.88922222
2876A,幼特教师范,潍坊,119.0841,36.7339
2877A,坊子邮政,潍坊,119.1638,36.6525
2878A,聊大东校,聊城,116.0072,36.4343
2880A,大石西路,成都,104.0238889,30.65638889
2881A,凯里学院,黔东南州,107.8908333,26.53111111
2882A,玉溪一中,玉溪,102.5389,24.3702
2883A,文体中心,玉溪,102.5381,24.339
2884A,酒钢宾馆,嘉峪关,98.26722222,39.79777778
2885A,滨江中学,陇南,104.9338889,33.38256667
2897A,沈辽西路,沈阳,123.2444,41.7347
2900A,裕农路,沈阳,123.5953,41.9086
2902A,北辰小学,广安,106.6351,30.4865
2907A,吴兴区,湖州,120.1844,30.8596
2914A,苏山坪,巴中,106.7513889,31.87888889
2915A,职业中学,巴中,106.7619444,31.85805556
2916A,老干部局,池州,117.49,30.66
2919A,河北工业大学,廊坊,116.7022,39.5453
2920A,蓝田镇,漳州,117.7116,24.5060
2921A,树下王站,绍兴,120.7789,30.0033
2922A,大理道,天津,117.1941,39.1067
2923A,供排水公司,大同,113.2803,40.1114
2924A,水乡路(直管站),银川,106.2275,38.44139
2925A,上海东路,银川,106.2739,38.4841
2926A,文昌北街,银川,106.1024,38.49494
2929A,红卫路,黄冈,114.8858,30.4519
2994A,武警支队,金华,119.6533,29.1128
2996A,市供电局,宿迁,118.2830,33.9650
2997A,王营,泰州,119.8767,32.3292
3000A,德源药业(直管站),连云港,119.3581,34.6972
3002A,行政中心,常州,119.9736,31.8108
3003A,经开区,常州,120.0469,31.7694
3004A,宝龙广场,盐城,120.1631,33.3681
3005A,鼓楼区政府,徐州,117.1814,34.29
3006A,铜山区招生办,徐州,117.1694,34.1781
3008A,胡沟管理处,连云港,119.3608,34.7519
3009A,矿山设计院,连云港,119.1478,34.5911
3010A,钟楼,常州,119.8914,31.7897
3012A,西山林语(启用161103),荆门,112.1908,31.03389
3014A,歇台子,重庆,106.4959,29.53675
3015A,龙井湾,重庆,106.4042,29.57278
3016A,龙洲湾,重庆,106.5506,29.41569
3018A,唐尧大酒店,临汾,111.505,36.10139
3019A,西沙,三沙,,
3020A,中山北路,天津,117.2099,39.16969
3021A,濮水河管理处,濮阳,115.0061,35.76806
3022A,凯旋路小学,洛阳,112.4433,34.6686
3025A,技师学院,清远,113.0472,23.63444
3026A,市政府,潮州,116.6183,23.65889
3027A,青杠林路,自贡,104.7228,29.33972
3028A,檀木林体育馆,自贡,104.7778,29.36028
3033A,培训基地,乌鲁木齐,87.4651,43.4569
3034A,光明街小学,乌兰察布,113.1076,41.0385
3035A,北滨河,兴安盟,122.0931,46.0707
3036A,开发区管委会,东营,118.696,37.43445
3038A,州图书馆,红河州,103.3758,23.3682
3039A,第一小学,三门峡,111.19,34.7822
3045A,商州区中学,商洛,109.9643,33.8471
3046A,机电学校,南昌,115.9083,28.6064
3048A,九龙,福州,119.5800,26.0931
3051A,西四道,天津,117.3916,39.1495
3054A,市委党校,新乡,113.5922,35.28385
3055A,城北区政府,西宁,101.7775,36.6428
3057A,牟平检察院,烟台,121.5992,37.4014
3058A,银河街,赤峰,119.2654,42.0352
3059A,泰兴公司,莱芜,117.7181,36.2092
3061A,国华电力东,呼伦贝尔,119.7512,49.1577
3064A,莱芜战役纪念馆,莱芜,117.6983,36.2211
3065A,州环保局,甘孜藏族自治州,101.9533,29.9972
3066A,九衢泉纯净水厂,德州,116.2714,37.4372
3122A,伍家关(对照点),安顺,105.9606,26.2611
3123A,凤凰山,安顺,105.9408,26.2431
3124A,金钟山,安顺,105.9439,26.2564
3125A,娄家坡,安顺,105.8983,26.2481
3128A,那曲会议中心,那曲地区,92.0506,31.4797
3129A,平安高铁新区,海东地区,102.0306,36.5067
3131A,烟厂,张家口,114.8792,40.7903
3132A,文明里(启用171012),秦皇岛,119.5967,37.0308
3133A,上清寺,重庆,106.5469,29.565
3134A,市一中,许昌,113.8172,34.0339
3136A,龙泉驿区区政府,成都,104.2725,30.5589
3137A,市委党校,眉山,103.8578,30.0744
3138A,武陵区永安(启用171130),常德,111.7153,29.0289
3139A,鼎城区玉霞(启用171130),常德,111.6892,28.9881
3140A,武陵区长庚,常德,111.6625,29.0531
3141A,信访局,安阳,114.3922,36.0878
3147A,龙亭公园,开封,114.3442,34.8097
3148A,区人社局,眉山,103.8286,30.0561
3149A,笔架山北路,黄石,115.0158,30.1594
